bar,start,2017,id,band,lanenr,number
Jones,1983,1983,bass,Santana,25,1
Jones,1989,1989,bass,Santana,25,2
Kermode,1972,1973,key,Santana,26,1
Lear,1985,1987,drums,Santana,27,1
Lear,1976,1983,drums,Santana,27,2
Lewis,1972,1972,percussion,Santana,28,1
Ligertwood,1984,1985,lvoc,Santana,29,1
Ligertwood,1987,1987,lvoc,Santana,29,2
Ligertwood,1989,1991,lvoc,Santana,29,3
Ligertwood,1992,1994,lvoc,Santana,29,4
Ligertwood,1979,1983,lvoc,Santana,29,5
Lindsay,2012,2014,lvoc,Santana,30,1
Lindsay,1991,1991,lvoc,Santana,30,2
Lindsay,1995,2003,lvoc,Santana,30,3
Livingstone,1967,1969,drums,Santana,31,1
Malone,1966,1969,percussion,Santana,32,1
Margen,1977,1983,bass,Santana,33,1
Mathews,2011,2017,key,Santana,34,1
Mejias,2013,2017,percussion,Santana,35,1
Miles,1973,1973,guitar,Santana,36,1
Miles,1973,1973,voc,Santana,36,2
Miles,1972,1972,drums,Santana,36,3
Miller,1976,1976,bass,Santana,37,1
Pantoja,1971,1971,percussion,Santana,38,1
Pasqua,1979,1980,key,Santana,39,1
Patillo,1974,1975,lvoc,Santana,40,1
Patillo,1976,1976,lvoc,Santana,40,2
Peraza,1977,1990,percussion,Santana,41,1
Peraza,1972,1976,percussion,Santana,41,2
Perazzo,1991,2017,percussion,Santana,42,1
Pete,1977,1978,percussion,Santana,43,1
Pete,1971,1971,percussion,Santana,43,2
Rabb,1976,1976,lvoc,Santana,44,1
Rauch,1972,1973,bass,Santana,45,1
Ravel,2009,2010,key,Santana,46,1
Rekow,1976,2013,percussion,Santana,47,1
Reyes,1972,1972,percussion,Santana,48,1
Reyes,1972,1972,voc,Santana,48,2
Reyes,1970,1971,percussion,Santana,48,3
Reyes,1970,1971,voc,Santana,48,4
Rhyne,1978,1979,key,Santana,49,1
Rietveld,1990,1992,bass,Santana,50,1
Rietveld,1997,2017,bass,Santana,50,2
Rodriguez,1966,1967,bass,Santana,51,1
Rolie,1966,1972,key,Santana,52,2
Rolie,1982,1983,key,Santana,52,3
Rolie,2013,2017,key,Santana,52,4
Rolie,1986,1988,key,Santana,52,5
Rolie,1966,1972,voc,Santana,51,7
Rolie,2013,2017,voc,Santana,52,6
Rutley,1971,1972,bass,Santana,53,1
Salgado,1995,1995,lvoc,Santana,54,1
Sancious,1984,1984,guitar,Santana,55,1
Sancious,1984,1984,key,Santana,55,2
Santana,1966,2017,guitar,Santana,0,1
Santana,1966,2017,voc,Santana,0,2
Schon,1971,1972,guitar,Santana,56,1
Schon,2013,2017,guitar,Santana,56,2
Shrieve,1973,1974,drums,Santana,57,1
Shrieve,1988,1988,drums,Santana,57,2
Shrieve,1969,1972,drums,Santana,57,3
Shrieve,2013,2017,drums,Santana,57,4
Solberg,1978,1980,guitar,Santana,58,1
Tellez,1976,1977,bass,Santana,59,1
Thomas,1973,1973,lvoc,Santana,60,1
Thompson,1983,2009,key,Santana,61,1
Vargas,2000,2014,lvoc,Santana,62,1
Vilato,1980,1987,percussion,Santana,63,1
Walfredo,1989,1991,drums,Santana,64,1
Walfredo,1992,1993,drums,Santana,64,2
Walker,1983,1985,lvoc,Santana,65,1
Walker,1975,1976,lvoc,Santana,65,2
Walker,1976,1979,lvoc,Santana,65,3
Wellman,1997,1997,drums,Santana,66,1
Jagger,1962,2017,Guitar,The Rolling Stones,0,1
Jagger,1962,2017,voc,The Rolling Stones,0,2
Richards,1962,2017,Guitar,The Rolling Stones,1,1
Richards,1962,2017,voc,The Rolling Stones,1,2
Jones,1962,1969,Guitar,The Rolling Stones,3,1
Jones,1962,1969,Harmonica2,The Rolling Stones,3,2
MTaylor,1969,1975,Guitar,The Rolling Stones,4,1
MTaylor,1969,1975,voc,The Rolling Stones,4,2
MTaylor,1981,1981,Guitar,The Rolling Stones,4,3
MTaylor,2012,2014,Guitar,The Rolling Stones,4,4
MTaylor,2012,2014,Guitar,The Rolling Stones,4,5
Wood,1975,2017,Guitar,The Rolling Stones,5,1
